材料ID,材料名称,材料类型,材料子类型,品牌,规格型号,颜色,颜色来源,照片路径,单位,单价,成本,价格口径,价格匹配等级,价格匹配依据,关联半包工程项,半包模板Excel行,适用区域,PPT项目数量,PPT来源页,PPT来源编号,照片SHA256,项目概况原始信息,启用状态,待补充字段,数据说明
MAT-WD-11,木作饰面板 WD-11,木作类,木作饰面板,,,深棕木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-11__WD-11.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-11,1eafb287243bca217bab4d049e1c55bc13312e2ff4dc9d0c389085f3c8cdd9c6,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-WD-12,木作饰面板 WD-12,木作类,木作饰面板,,,浅灰木纹,照片推断,主材库完整版_静悦府融合_照片/MAT-WD-12__WD-12.png,M2,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,7,WD-12,f9ec749f4503e5927dbd9518b2b9f99a1dfabc221814f252126ea46bb0b0c88b,,待补充/待确认,品牌；规格型号；单价；成本,
MAT-MT-01,柜门铰链,五金类,铰链,悍高,三段力,黑色/枪灰,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-01__MT-01.jpg,个,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,8,MT-01,601a111e759c646b05b3380448c01ba404cd979f09e784cace59bd6d6a570006,,待补充/待确认,单价；成本,
MAT-MT-02,抽屉三节轨,五金类,滑轨,悍高,三节轨,黑色,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-02__MT-02.png,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,8,MT-02,31d6f4b02ca5478a6928d7e4df594982bc9d9132995b42b5424b9826e943753d,,待补充/待确认,单价；成本,
MAT-MT-03,抽屉托底轨,五金类,滑轨,悍高,托底轨,银色,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-03__MT-03.jpg,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,8,MT-03,ec747d5a19ab30fdb413b0ef210b0cf21840bdf91c1088002323f7f307fcb034,,待补充/待确认,单价；成本,
MAT-MT-04,房间门锁,五金类,门锁,亿鹏,,枪灰色,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-04__MT-04.png,把,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,三个房间门锁,,8,MT-04,ebf9346178b58d83cd5366c34b15442369318b1ccf7cd56b0195bed77ca203da,,待补充/待确认,规格型号；单价；成本,
MAT-MT-S09-C01-025,厨房拉篮,五金类,厨房五金,悍高,希勒3.0,黑色,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-S09-C01-025__拉篮.jpg,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,厨房,,9,拉篮,d97eadb0d05412b5be0941ad3f5659c51ff830da789cc293b384c1b227173245,,待补充/待确认,单价；成本,
MAT-MT-S09-C02-026,厨房水槽,五金类,厨房水槽,威博施,水母,不锈钢原色,照片推断,主材库完整版_静悦府融合_照片/MAT-MT-S09-C02-026__水槽.png,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,9,水槽,91cca4bbaf419546c4b2380a3e16ced8f4b56930b85097d3825f4798831961e1,,待补充/待确认,单价；成本,
MAT-BR-S10-C01-027,主客卫洗漱龙头,卫浴类,龙头,顾朗,l-4386hb,枪灰色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S10-C01-027__BR-01.jpg,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,主客卫洗漱龙头,2,10,BR-01,1d7b257b4ef9fc9331db2fd82b8466d8e390ca615d2bd993d462075e1e16025c,,待补充/待确认,单价；成本,PPT四个卫浴项重复使用BR-01，已生成唯一材料ID并保留原编号
MAT-BR-S10-C02-028,主客卫预埋龙头 l-4402hb,卫浴类,龙头,顾朗,l-4402hb,枪灰色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S10-C02-028__BR-01.jpg,套,300,,半包施工单价/预计施工成本,关联工序,预埋龙头对应水电预埋工序,暗藏龙头预埋,337,主客卫预埋龙头,2,10,BR-01,1fc1c1f7f8f303663744664cac05f363c140dc4499dcc724aef7573c3fb39d31,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格；PPT四个卫浴项重复使用BR-01，已生成唯一材料ID并保留原编号
MAT-BR-S10-C03-029,主客卫预埋龙头 l-4428nb,卫浴类,龙头,顾朗,l-4428nb,银色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S10-C03-029__BR-01.jpg,套,300,,半包施工单价/预计施工成本,关联工序,预埋龙头对应水电预埋工序,暗藏龙头预埋,337,主客卫预埋龙头,2,10,BR-01,044eb8b19ccd8d39439a838b0610ed98346ba11e44e2714067047c264dba784a,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格；PPT四个卫浴项重复使用BR-01，已生成唯一材料ID并保留原编号
MAT-BR-S10-C04-030,主客卫预埋龙头 l-4417QB,卫浴类,龙头,顾朗,l-4417QB,黄铜色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S10-C04-030__BR-01.jpg,套,300,,半包施工单价/预计施工成本,关联工序,预埋龙头对应水电预埋工序,暗藏龙头预埋,337,主客卫预埋龙头,2,10,BR-01,9d2022251a2e99c5ac2725cdaa9670d9205c86fb05672fdeb3de022c5d561cad,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格；PPT四个卫浴项重复使用BR-01，已生成唯一材料ID并保留原编号
MAT-BR-S11-C01-031,浴缸,卫浴类,浴缸,柯邸,X-LGC01,白色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S11-C01-031__浴缸.png,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,绮美石,1,11,浴缸,8f6d4dbebb5c969d2fbcabd5a7fa3e6c825be06441d7104394efb09404c26443,,待补充/待确认,单价；成本,
MAT-BR-S11-C02-032,预埋落地龙头,卫浴类,龙头,顾朗,l-8579hb-1,枪灰色,PPT区域说明,主材库完整版_静悦府融合_照片/MAT-BR-S11-C02-032__预埋落地龙头.jpg,套,300,,半包施工单价/预计施工成本,关联工序,预埋龙头对应水电预埋工序,暗藏龙头预埋,337,预埋落地龙头（枪灰色）,1,11,预埋落地龙头,2a256fb436f4e4af20cee9de8c458ba59303a34513d80b852dec61a55e321b23,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-BR-S11-C03-033,明装花洒,卫浴类,花洒,顾朗,l-8577nb,枪灰色,PPT区域说明,主材库完整版_静悦府融合_照片/MAT-BR-S11-C03-033__明装花洒.jpg,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,主次卫琴键花洒（枪灰色）,2,11,明装花洒,5f4637d38f802f579f1f38e3dc9f929873786f515fa81423293a40364026d1cc,,待补充/待确认,单价；成本,
MAT-BR-S11-C04-034,预埋花洒,卫浴类,花洒,顾朗,l-8325ca,亮铬色,PPT区域说明,主材库完整版_静悦府融合_照片/MAT-BR-S11-C04-034__预埋花洒.jpg,套,300,,半包施工单价/预计施工成本,关联工序,预埋花洒对应水电预埋工序,暗藏花洒预埋,336,主次卫预埋花洒（亮色）,2,11,预埋花洒,74256a6c227c3ef3ada1d0d5b8f18a32309f51a2997c5e428987b749592c9647,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-BR-S11-C01-035,主次卫马桶,卫浴类,马桶,法恩莎,FLP0834D,白色,照片推断,主材库完整版_静悦府融合_照片/MAT-BR-S11-C01-035__主次卫马桶.png,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,轻智能主次卫马桶,2,11,主次卫马桶,b8b1e172789dd3383203f9923011e8fe506d21b50543aaeb376e1b69d8477270,,待补充/待确认,单价；成本,
MAT-BR-S11-C02-036,淋浴房,卫浴类,淋浴房,朗格34A,枪灰拉丝,枪灰拉丝,PPT型号,主材库完整版_静悦府融合_照片/MAT-BR-S11-C02-036__淋浴房.png,套,100,,半包施工单价/预计施工成本,关联工序,淋浴房商品仅关联下沉式淋浴房工艺,下沉式淋浴房工艺,260,一固一移,2,11,淋浴房,b2ee92e43e6f23293a56a7e207e2bfba2116dc155482f2a9dc2ec953aead45ea,,待补充/待确认,成本；价格匹配待确认,价格取自半包施工工序，不等同于主材采购/零售价格
MAT-BR-S11-C03-037,主卫浴室柜,卫浴类,浴室柜,,,,,,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,11,主卫浴室柜,,,待补充/待确认,品牌；规格型号；颜色；照片；单价；成本,
MAT-BR-S11-C04-038,次卫浴室柜,卫浴类,浴室柜,,,,,,套,,,,未匹配,PPT材料在半包模板中无可靠对应工序,,,,,11,次卫浴室柜,,,待补充/待确认,品牌；规格型号；颜色；照片；单价；成本,
MAT-PAINT-001,乳胶漆,涂料类,墙面涂料,佐敦,1001,,,,M2,18,10,半包施工单价/预计施工成本,精确,墙面乳胶漆,墙面乳胶漆,68,所有墙面,,2,项目概况-乳胶漆,,"{""name"": ""乳胶漆"", ""brand"": ""佐敦"", ""model"": ""1001"", ""area"": ""所有墙面""}",待补充/待确认,颜色；照片,价格取自半包施工工序，不等同于乳胶漆商品采购/零售价格
