source_sheet,excel_row,template_order,section,section_source_row,subgroup,source_number,item_name,unit,quantity_default,quantity_formula,quantity_source_suggestion,sale_unit_price,cost_unit_price,cost_status,amount_formula,remarks,material_demand_category,can_trigger_material_demand,data_quality_notes
半包报价模板,45,38,二、客餐厅工程,26,,木工吊顶,石膏板吊平顶,M2,38.4,E26-11.6,空间面积,168,100,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,46,39,二、客餐厅工程,26,,,欧松板基层处理,M,0,,主案设计师手工填写,168,100,已提供,,千年舟12/15MM欧松板基础打底,,否,
半包报价模板,47,40,二、客餐厅工程,26,,,欧松板基层石膏板饰面,M2,0,,主案设计师手工填写,240,140,已提供,,"1、15MM欧松板找平，打底。
2、9mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,48,41,二、客餐厅工程,26,,,双层石膏板（墙面找平）,M2,,,主案设计师手工填写,188,110,已提供,,墙面木楔找平,,否,
半包报价模板,49,42,二、客餐厅工程,26,,,双层石膏板吊顶（顶面）,M2,,,主案设计师手工填写,238,150,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，加欧松板自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,50,43,二、客餐厅工程,26,,,石膏板吊斜顶,M2,0,,主案设计师手工填写,188,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,51,44,二、客餐厅工程,26,,,防水石膏板吊平顶,M2,0,,主案设计师手工填写,198,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,52,45,二、客餐厅工程,26,,,石膏板异性造型吊顶,M2,13.4217,0.9*7.71+1.57*3.21+0.13*11.1,规则计算,258,150,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,53,46,二、客餐厅工程,26,,,石膏板普通单层边吊（≤300mm）,M,0,,主案设计师手工填写,208,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；
3、宽度不大于60mm。",,否,
半包报价模板,54,47,二、客餐厅工程,26,,,石膏板单级走边（≤200mm）,M,16.7,9.8+6.9,规则计算,80,50,已提供,,木板基层，石膏板封边，宽度少于20mm,,否,
半包报价模板,55,48,二、客餐厅工程,26,,,石膏板双级走边/双眼皮走边,M,0,,主案设计师手工填写,100,60,已提供,,木板基层，石膏板封边，宽度少于20mm,,否,
半包报价模板,56,49,二、客餐厅工程,26,,,禅翼型材灯线安装,M,0,,主案设计师手工填写,40,20,已提供,,,,否,缺施工说明
半包报价模板,57,50,二、客餐厅工程,26,,,吊顶凹槽造型/线型灯,M,25.89,13+1.89+11,规则计算,50,35,已提供,,留槽工艺,,否,
半包报价模板,58,51,二、客餐厅工程,26,,,反光灯槽吊顶,M,7.7,7.7,规则计算,60,40,已提供,,木工板基层，石膏板封边,,否,
半包报价模板,59,52,二、客餐厅工程,26,,,空调出风或回风口框架,M,6,,主案设计师手工填写,200,130,已提供,,欧松板框架，龙骨角条固定长度≤2000mm,,否,
半包报价模板,60,53,二、客餐厅工程,26,,,窗帘盒,M,6.1,,主案设计师手工填写,208,130,已提供,,1、优等欧松板做底板与立板，石膏板贴面                          2、宽度≤280mm；,,否,
半包报价模板,61,54,二、客餐厅工程,26,,,石膏板弧形造型（按人工补差）,个,4,,主案设计师手工填写,600,400,已提供,,圆弧造型补差人工费,,否,
半包报价模板,62,55,二、客餐厅工程,26,,,电视背景反光灯槽,M,0,,主案设计师手工填写,60,40,已提供,,木工板基层，石膏板封边,,否,
半包报价模板,63,56,二、客餐厅工程,26,,,欧松板基层石膏板饰面,M2,0,,主案设计师手工填写,240,140,已提供,,"1、15MM欧松板找平，打底。
2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,64,57,二、客餐厅工程,26,,,木制地台（一级细木工板）,M2,0,,主案设计师手工填写,208,110,已提供,,"1、松木方或优等细木工板开条做骨架，上铺优等细木工板，抽屉另计；               
2、地板、地毯、石塑等面层铺设另计；     
3、按平面面积计算工程量，高度≤200mm。",,否,
半包报价模板,65,58,二、客餐厅工程,26,,油漆,顶面基层处理,M2,50,SUM(E26),空间面积,47,35,已提供,,"1、刷界面剂一遍，批刮腻子三遍，打磨平整；                                   2、顶面水泥砂浆处理、沙灰墙铲除、原顶面涂层铲除及贴布等费用另计；             
3、原顶面平整度误差超过1.5cm、垂直误差超过1.5cm需找平，费用另计。",,否,
半包报价模板,66,59,二、客餐厅工程,26,,,顶面乳胶漆,M2,50,F65,引用其他项目/参数,18,10,已提供,,"1、一遍底涂
2、两遍面涂及人工。",,否,
半包报价模板,67,60,二、客餐厅工程,26,,,墙面基层处理,M2,112,SUM(G26*I26),空间周长,47,35,已提供,,"1、刷界面剂一遍，批刮腻子三遍，打磨平整；                                   2、顶面水泥砂浆处理、沙灰墙铲除、原顶面涂层铲除及贴布等费用另计；
3、原顶面平整度误差超过1.5cm、垂直误差超过1.5cm需找平，费用另计。",,否,
半包报价模板,68,61,二、客餐厅工程,26,,,墙面乳胶漆,M2,112,SUM(F67:F67),引用其他项目/参数,18,10,已提供,,"1、一遍底涂
2、两遍面涂及人工。",,否,
半包报价模板,69,62,二、客餐厅工程,26,,包管,包管道（1根）,项,0,,主案设计师手工填写,280,200,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,70,63,二、客餐厅工程,26,,,包管道（2根）,项,0,,主案设计师手工填写,380,300,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,71,64,二、客餐厅工程,26,,,包管道（3根）,项,0,,主案设计师手工填写,480,400,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,74,65,三、卧室工程,73,,,石材窗台板铺设（飘窗）,M,0,,主案设计师手工填写,160,100,已提供,F74*G74,"1、轻工辅料，，宽度≤800mm;                               
2、干性水泥砂浆铺贴，玻璃胶填缝；       
3、不含抛光打蜡。",门槛石/窗台石/石材,是,
半包报价模板,75,66,三、卧室工程,73,,,石材窗台板铺设,M,1.76,,主案设计师手工填写,100,50,已提供,,"1、轻工辅料，宽度≤300mm;                               
2、干性水泥砂浆铺贴，玻璃胶填缝；       
3、不含抛光打蜡。",门槛石/窗台石/石材,是,
半包报价模板,76,67,三、卧室工程,73,,,成品保护,M2,0,,主案设计师手工填写,12,12,已提供,,乙方提供成品保护材料对于施工完成的半成品及成品进行保护。,,否,
半包报价模板,77,68,三、卧室工程,73,,泥工贴砖,800*800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,150,90,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,78,69,三、卧室工程,73,,,600*1200mm地砖（水泥砂浆粘贴）,M2,20,SUM(E73),空间面积,160,100,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,79,70,三、卧室工程,73,,,750*1500mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,170,105,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,80,71,三、卧室工程,73,,,900*1800mm地砖（水泥砂浆粘贴）,M2,0,,主案设计师手工填写,200,120,已提供,,水泥黄沙铺贴，斜铺、错缝、不规则、走边铺贴费用另计，不含美缝、胶泥。,瓷砖/石材铺贴,是,
半包报价模板,81,72,三、卧室工程,73,,,200*700mm小砖（胶泥粘帖）,M2,0,,主案设计师手工填写,200,140,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,82,73,三、卧室工程,73,,,800*800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,160,100,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,83,74,三、卧室工程,73,,,600*1200mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,170,105,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,84,75,三、卧室工程,73,,,750*1500mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,180,110,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,85,76,三、卧室工程,73,,,900*1800mm墙砖（胶泥粘帖）,M2,0,,主案设计师手工填写,220,130,已提供,,"1、轻工辅料，
2、马贝胶泥铺贴；",瓷砖/石材铺贴,是,
半包报价模板,86,77,三、卧室工程,73,,,（薄贴）瓷砖增加人工费,M2,,,主案设计师手工填写,20,10,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,瓷砖/石材铺贴,是,
半包报价模板,87,78,三、卧室工程,73,,找平,粗找平,M2,,,主案设计师手工填写,58,40,已提供,,水泥黄沙瓜子片地暖找平，厚度≤50mm,,否,
半包报价模板,88,79,三、卧室工程,73,,,瓜子片豆石精找平,M2,0,,主案设计师手工填写,78,50,已提供,,水泥黄沙瓜子片豆石精找平（地砖博贴专用，误差3mm）（厚度3到5cm）,,否,
半包报价模板,89,80,三、卧室工程,73,,,半干成品砂浆找平,M2,0,,主案设计师手工填写,98,65,已提供,,半干砂浆找平（地板找平专用，误差3mm以内）（厚度3到5cm）,,否,
半包报价模板,90,81,三、卧室工程,73,,木工吊顶,石膏板吊平顶,M2,0,,主案设计师手工填写,168,100,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,91,82,三、卧室工程,73,,,欧松板基层处理,M,0,,主案设计师手工填写,168,100,已提供,,千年舟12/15MM欧松板基础打底,,否,
半包报价模板,92,83,三、卧室工程,73,,,欧松板基层石膏板饰面,M2,0,,主案设计师手工填写,240,140,已提供,,"1、15MM欧松板找平，打底。
2、9mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,93,84,三、卧室工程,73,,,双层石膏板（墙面找平）,M2,,,主案设计师手工填写,188,110,已提供,,墙面木楔找平,,否,
半包报价模板,94,85,三、卧室工程,73,,,双层石膏板吊顶（顶面）,M2,,,主案设计师手工填写,238,150,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，加欧松板自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,95,86,三、卧室工程,73,,,石膏板吊斜顶,M2,0,,主案设计师手工填写,188,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,96,87,三、卧室工程,73,,,防水石膏板吊平顶,M2,0,,主案设计师手工填写,198,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,97,88,三、卧室工程,73,,,石膏板异性造型吊顶,M2,13.4217,0.9*7.71+1.57*3.21+0.13*11.1,规则计算,258,150,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,98,89,三、卧室工程,73,,,石膏板普通单层边吊（≤300mm）,M,0,,主案设计师手工填写,208,110,已提供,,"1、轻钢骨架，间距一般为400mm,打孔下膨胀螺栓固定；                           2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；
3、宽度不大于60mm。",,否,
半包报价模板,99,90,三、卧室工程,73,,,石膏板单级走边（≤200mm）,M,16.7,9.8+6.9,规则计算,80,50,已提供,,木板基层，石膏板封边，宽度少于20mm,,否,
半包报价模板,100,91,三、卧室工程,73,,,石膏板双级走边/双眼皮走边,M,0,,主案设计师手工填写,100,60,已提供,,木板基层，石膏板封边，宽度少于20mm,,否,
半包报价模板,101,92,三、卧室工程,73,,,禅翼型材灯线安装,M,0,,主案设计师手工填写,40,20,已提供,,,,否,缺施工说明
半包报价模板,102,93,三、卧室工程,73,,,吊顶凹槽造型/线型灯,M,25.89,13+1.89+11,规则计算,50,35,已提供,,留槽工艺,,否,
半包报价模板,103,94,三、卧室工程,73,,,反光灯槽吊顶,M,7.7,7.7,规则计算,60,40,已提供,,木工板基层，石膏板封边,,否,
半包报价模板,104,95,三、卧室工程,73,,,空调出风或回风口框架,M,6,,主案设计师手工填写,200,130,已提供,,欧松板框架，龙骨角条固定长度≤2000mm,,否,
半包报价模板,105,96,三、卧室工程,73,,,窗帘盒,M,6.1,,主案设计师手工填写,208,130,已提供,,1、优等欧松板做底板与立板，石膏板贴面                          2、宽度≤280mm；,,否,
半包报价模板,106,97,三、卧室工程,73,,,石膏板弧形造型（按人工补差）,个,4,,主案设计师手工填写,600,400,已提供,,圆弧造型补差人工费,,否,
半包报价模板,107,98,三、卧室工程,73,,,电视背景反光灯槽,M,0,,主案设计师手工填写,60,40,已提供,,木工板基层，石膏板封边,,否,
半包报价模板,108,99,三、卧室工程,73,,,欧松板基层石膏板饰面,M2,0,,主案设计师手工填写,240,140,已提供,,"1、15MM欧松板找平，打底。
2、9.5mm厚纸面石膏板罩面，自攻螺丝钉固定，钉眼点涂防锈漆，石膏板接缝处填嵌石膏，粘帖专用绷带；",,否,
半包报价模板,109,100,三、卧室工程,73,,,木制地台（一级细木工板）,M2,0,,主案设计师手工填写,208,110,已提供,,"1、松木方或优等细木工板开条做骨架，上铺优等细木工板，抽屉另计；               
2、地板、地毯、石塑等面层铺设另计；     
3、按平面面积计算工程量，高度≤200mm。",,否,
半包报价模板,110,101,三、卧室工程,73,,油漆,顶面基层处理,M2,20,SUM(E73),空间面积,47,35,已提供,,"1、刷界面剂一遍，批刮腻子三遍，打磨平整；                                   2、顶面水泥砂浆处理、沙灰墙铲除、原顶面涂层铲除及贴布等费用另计；             
3、原顶面平整度误差超过1.5cm、垂直误差超过1.5cm需找平，费用另计。",,否,
半包报价模板,111,102,三、卧室工程,73,,,顶面乳胶漆,M2,20,SUM(F110:F110),引用其他项目/参数,18,10,已提供,,"1、一遍底涂
2、两遍面涂及人工。",,否,
半包报价模板,112,103,三、卧室工程,73,,,墙面基层处理,M2,58.2,SUM(G73*I73),空间周长,47,35,已提供,,"1、刷界面剂一遍，批刮腻子三遍，打磨平整；                                   2、顶面水泥砂浆处理、沙灰墙铲除、原顶面涂层铲除及贴布等费用另计；
3、原顶面平整度误差超过1.5cm、垂直误差超过1.5cm需找平，费用另计。",,否,
半包报价模板,113,104,三、卧室工程,73,,,墙面乳胶漆,M2,58.2,SUM(F112:F112),引用其他项目/参数,18,10,已提供,,"1、一遍底涂
2、两遍面涂及人工。",,否,
半包报价模板,116,105,七、阳台工程,115,,1,包管道（1根）,项,0,,主案设计师手工填写,280,200,已提供,F116*G116,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,117,106,七、阳台工程,115,,2,包管道（2根）,项,0,,主案设计师手工填写,380,300,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,118,107,七、阳台工程,115,,3,包管道（3根）,项,,,主案设计师手工填写,480,400,已提供,,"1、成品现浇混凝土或红砖包管，含人工、辅料，
2、未包管部分下水管采用EVA材料保护、专用扎带固定",,否,
半包报价模板,121,108,八、厨卫工程,120,,1,门槛石安装,M,0,,主案设计师手工填写,100,50,已提供,F121*G121,水泥黄沙铺贴（不足1米按1米算）,门槛石/窗台石/石材,是,
半包报价模板,122,109,八、厨卫工程,120,,2,成品保护,M2,0,,主案设计师手工填写,12,12,已提供,,乙方提供成品保护材料对于施工完成的半成品及成品进行保护。,,否,
